sampling,nk,eta_eV,matsubara_index,omega_eV,refine_factor,shift_grid,num_kpoints_total,num_fs_cells,num_refined_points,refined_area_fraction,sigma_xx,sigma_yy,sigma_xy,sigma_yx,sigma_xx_std_over_shifts,relative_std_over_shifts,delta,relative_offdiag,relative_eigen_split,sheet_conductivity_xx,reflection_dimensionless_xx,relative_change_vs_largest_nk,relative_change_between_last_two_nk,eta_relative_change,min_abs_band_energy_on_mesh,points_within_eta,points_within_omega,points_within_kBT,fermi_window_weight_sum,estimated_mesh_energy_resolution,fs_sampling_status,convergence_status,diagnosis,notes
multishift_average,64,0.0005,1,0.016243290521934156,1,4,65536,0,0,0.0,(22.131074396012494+0j),(22.131074396012437+0j),(-2.2620794126737565e-15+0j),(-2.2620794126737565e-15+0j),15.218813806343952,0.6876671929260709,(1.2842444484089294e-15+0j),1.4455074920106876e-16,2.568488896817859e-15,(0.005387001850982368+0j),(2.0294468970445516+0j),0.0,0.11523180741409769,0.023693857478541806,4.732111210301998e-05,180,4788,764,2.2345249790455837,0.00038819925279219515,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,32,0.0001,1,0.016243290521934156,2,4,1780,252,1008,0.24609375,(11.719611235016105+0j),(11.719611235016165+0j),(-6.209722412018349e-15+0j),(-6.327900448819244e-15+0j),0.0,0.0,(-2.5767122871429174e-15+0j),7.564953983924146e-16,5.153424574285835e-15,(0.002852711363493528+0j),(1.0747028467699373+0j),0.2324146462002284,1.373570900486611,0.023510465766526906,0.0004953915282692246,0,248,28,1.8141822656483204,0.0021554636026022145,warning_fs_underresolved_eta,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,32,0.0005,1,0.016243290521934156,2,4,1780,252,1008,0.24609375,(11.444077716278255+0j),(11.444077716278372+0j),(-6.281700166429669e-15+0j),(-6.3872946817661535e-15+0j),0.0,0.0,(-5.1222804627432914e-15+0j),7.828191622894027e-16,1.0865443405819105e-14,(0.0027856427906403315+0j),(1.0494360822817639+0j),0.23234521798948246,1.3731603795103586,0.023510465766526906,0.0004953915282692246,8,248,28,1.8141822656483204,0.0021554636026022145,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,48,0.0001,1,0.016243290521934156,2,4,3564,420,1680,0.18229166666666666,(36.24004555942383+0j),(36.24004555942382+0j),(-3.3812426562530996e-14+0j),(-3.37768649438589e-14+0j),0.0,0.0,(9.803281491396076e-17+0j),1.318785675822395e-15,1.5685250386233724e-15,(0.008821315631358437+0j),(3.3232570047560537+0j),1.373570900486611,1.373570900486611,0.023767654885129424,1.306450173448188e-05,16,740,144,2.6519535314352494,0.001126061385909538,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,48,0.0005,1,0.016243290521934156,2,4,3564,420,1680,0.18229166666666666,(35.378704663546074+0j),(35.37870466354595+0j),(-3.261498684661128e-14+0j),(-3.250266350236936e-14+0j),0.0,0.0,(1.7071323869536775e-15+0j),1.3014948137714516e-15,3.615103878254847e-15,(0.008611653645799513+0j),(3.244270979172423+0j),1.3731603795103586,1.3731603795103586,0.023767654885129424,1.306450173448188e-05,32,740,144,2.6519535314352494,0.001126061385909538,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,64,0.0001,1,0.016243290521934156,2,4,6448,784,3136,0.19140625,(15.268153798141936+0j),(15.268153798141881+0j),(7.794746811822264e-15+0j),(7.715261028293683e-15+0j),0.0,0.0,(1.803330734987398e-15+0j),7.183170855990296e-16,3.7230053883610805e-15,(0.0037164744602952286+0j),(1.4001085891619016+0j),0.0,1.373570900486611,0.023598781403663175,8.310061803753593e-05,8,1128,180,2.018697644929931,0.0006377442825340474,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,64,0.0005,1,0.016243290521934156,2,4,6448,784,3136,0.19140625,(14.907843974222075+0j),(14.907843974221954+0j),(7.496360620183085e-15+0j),(7.513870432329863e-15+0j),0.0,0.0,(4.051298943297424e-15+0j),7.119636752512518e-16,7.864286184047941e-15,(0.0036287701919144244+0j),(1.3670677326248786+0j),0.0,1.3731603795103586,0.023598781403663175,8.310061803753593e-05,40,1128,180,2.018697644929931,0.0006377442825340474,ok,warning_high_nk_not_converged;warning_eta_sensitive;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,32,0.0001,1,0.016243290521934156,4,4,4804,252,4032,0.24609375,(15.268080433713621+0j),(15.268080433713736+0j),(3.781389989010555e-14+0j),(3.768556762067861e-14+0j),0.0,0.0,(-3.781195516433757e-15+0j),3.4965929612031692e-15,9.074869239441018e-15,(0.0037164566024043707+0j),(1.4001018615530774+0j),0.3691369231379286,0.030259090016922372,0.023599093810487366,8.310061803760532e-05,8,1128,180,2.018875847658892,0.0007020751705748562,ok,warning_high_nk_not_converged;warning_eta_sensitive;fs_adaptive_improves_convergence;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,32,0.0005,1,0.016243290521934156,4,4,4804,252,4032,0.24609375,(14.907767571252347+0j),(14.907767571252386+0j),(3.9034841152427823e-14+0j),(3.919703440929989e-14+0j),0.0,0.0,(-1.3107210814772082e-15+0j),3.710710429163554e-15,5.957823097623674e-15,(0.0036287515944016246+0j),(1.3670607263780483+0j),0.3690676141597805,0.030253323409284123,0.023599093810487366,8.310061803760532e-05,40,1128,180,2.018875847658892,0.0007020751705748562,ok,warning_high_nk_not_converged;warning_eta_sensitive;fs_adaptive_improves_convergence;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,48,0.0001,1,0.016243290521934156,4,4,8604,420,6720,0.18229166666666666,(23.469565356606523+0j),(23.46956535660634+0j),(3.21471408560322e-15+0j),(3.2871323866800104e-15+0j),0.0,0.0,(3.935759109523164e-15+0j),1.9590413496737257e-16,7.871518219046327e-15,(0.005712808594623443+0j),(2.1521881737712327+0j),0.030259090016922372,0.030259090016922372,0.023700547509791,7.894140965752001e-05,8,2696,464,2.2758558528794284,0.00035839482793897925,ok,warning_high_nk_not_converged;warning_eta_sensitive;fs_adaptive_improves_convergence;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,48,0.0005,1,0.016243290521934156,4,4,8604,420,6720,0.18229166666666666,(22.913323807838125+0j),(22.913323807837827+0j),(2.753991635994321e-15+0j),(2.6776104929281626e-15+0j),0.0,0.0,(6.51210517343535e-15+0j),1.6763619555556372e-16,1.3024210346870698e-14,(0.005577411903112227+0j),(2.101180135708757+0j),0.030253323409284123,0.030253323409284123,0.023700547509791,7.894140965752001e-05,96,2696,464,2.2758558528794284,0.00035839482793897925,ok,warning_high_nk_not_converged;warning_eta_sensitive;fs_adaptive_improves_convergence;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,64,0.0001,1,0.016243290521934156,4,4,15856,784,12544,0.19140625,(24.20189260347496+0j),(24.201892603475397+0j),(-1.206233355035607e-14+0j),(-1.2259035564773963e-14+0j),0.0,0.0,(-9.027884505811636e-15+0j),7.106207664216122e-16,1.805576901162327e-14,(0.005891066918815598+0j),(2.219343488157872+0j),0.0,0.030259090016922372,0.023706353083572124,2.0338797128772475e-05,16,4800,844,2.290060257470712,0.00019925002373466505,ok,warning_high_nk_not_converged;warning_eta_sensitive;fs_adaptive_improves_convergence;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
fs_adaptive,64,0.0005,1,0.016243290521934156,4,4,15856,784,12544,0.19140625,(23.62815399212629+0j),(23.628153992125796+0j),(-1.1914763989166794e-14+0j),(-1.1816711296373262e-14+0j),0.0,0.0,(1.0449974245085648e-14+0j),7.102048827852661e-16,2.0599229806859485e-14,(0.005751411206399204+0j),(2.1667309478138748+0j),0.0,0.030253323409284123,0.023706353083572124,2.0338797128772475e-05,164,4800,844,2.290060257470712,0.00019925002373466505,ok,warning_high_nk_not_converged;warning_eta_sensitive;fs_adaptive_improves_convergence;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | FS-adaptive weighted mesh diagnostic; fs_window_eV=0.0162433; weight_sum=1 | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
