pairing,distance_nm,theta_deg,energy_per_area_J_m2
spm,50.0,45.0,-4.790874746583492e-08
spm,50.0,60.0,-4.790874380090272e-08
spm,50.0,75.0,-4.7908743779924787e-08
spm,50.0,90.0,-4.79087474236537e-08
spm,80.0,0.0,-1.784663432174496e-08
spm,80.0,15.0,-1.784663491502906e-08
spm,80.0,30.0,-1.78466349186658e-08
spm,80.0,45.0,-1.7846634329102684e-08
spm,80.0,60.0,-1.7846634918665802e-08
spm,80.0,75.0,-1.784663491502907e-08
spm,80.0,90.0,-1.7846634321744952e-08
spm,100.0,0.0,-1.0958812085436475e-08
spm,100.0,15.0,-1.095881302161306e-08
spm,100.0,30.0,-1.0958813023020672e-08
spm,100.0,45.0,-1.0958812088297339e-08
spm,100.0,60.0,-1.095881302302066e-08
spm,100.0,75.0,-1.0958813021613047e-08
spm,100.0,90.0,-1.0958812085436458e-08
spm,150.0,0.0,-4.503246350148423e-09
spm,150.0,15.0,-4.503247177822006e-09
spm,150.0,30.0,-4.503247178059534e-09
spm,150.0,45.0,-4.503246350632238e-09
spm,150.0,60.0,-4.503247178059535e-09
spm,150.0,75.0,-4.503247177822006e-09
spm,150.0,90.0,-4.503246350148423e-09
spm,200.0,0.0,-2.4060774318610385e-09
spm,200.0,15.0,-2.406078055711788e-09
spm,200.0,30.0,-2.4060780557872656e-09
spm,200.0,45.0,-2.406077432011241e-09
spm,200.0,60.0,-2.4060780557872648e-09
spm,200.0,75.0,-2.4060780557117853e-09
spm,200.0,90.0,-2.4060774318610372e-09
