pairing,distance_nm,theta_deg,energy_per_area_J_m2,torque_per_area_J_m2_rad,anisotropic_energy_J_m2
normal,50.0,30.0,-4.785023101836186e-08,2.6996928769710476e-14,5.799653284132038e-15
normal,50.0,45.0,-4.785024495403761e-08,-0.0,-8.136022462598562e-15
normal,50.0,60.0,-4.785023101836187e-08,-2.6996928756475586e-14,5.799653277514593e-15
normal,50.0,75.0,-4.785023081847876e-08,2.5841984999508694e-14,5.999536383722904e-15
normal,50.0,90.0,-4.785024454919358e-08,5.244746724734112e-14,-7.731178433246939e-15
normal,80.0,0.0,-1.7821550978632824e-08,1.0914265334213632e-14,1.6647992286586823e-15
normal,80.0,15.0,-1.7821553835980807e-08,5.563991248151355e-15,-1.1925487541159254e-15
normal,80.0,30.0,-1.782155389193183e-08,-5.242654337567516e-15,-1.2484997768358818e-15
normal,80.0,45.0,-1.7821551090933415e-08,1.3234889800848443e-23,1.5524986376734742e-15
normal,80.0,60.0,-1.7821553891931833e-08,5.242654344184961e-15,-1.2484997801446042e-15
normal,80.0,75.0,-1.782155383598081e-08,-5.563991268003689e-15,-1.1925487574246479e-15
normal,80.0,90.0,-1.7821550978632818e-08,-1.0914265372128801e-14,1.6647992352761272e-15
normal,100.0,0.0,-1.094214777609975e-08,1.5229790736327813e-14,2.2973153248437678e-15
normal,100.0,15.0,-1.0942151763249641e-08,7.678500173781606e-15,-1.6898345662360102e-15
normal,100.0,30.0,-1.094215179655304e-08,-7.488842899298802e-15,-1.7231379644650547e-15
normal,100.0,45.0,-1.0942147842100668e-08,3.308722450212111e-24,2.2313144067515106e-15
normal,100.0,60.0,-1.0942151796553041e-08,7.488842892681357e-15,-1.723137966119416e-15
normal,100.0,75.0,-1.0942151763249636e-08,-7.678500187016495e-15,-1.6898345612729265e-15
normal,100.0,90.0,-1.0942147776099747e-08,-1.522979073000862e-14,2.2973153281524902e-15
normal,150.0,0.0,-4.495352281417985e-09,1.3323963086760158e-14,2.0022666955459808e-15
normal,150.0,15.0,-4.4953557696233645e-09,6.6926459280844465e-15,-1.4859386836262935e-15
normal,150.0,30.0,-4.495355785679198e-09,-6.602902559021004e-15,-1.5019945173962989e-15
normal,150.0,45.0,-4.495352312351669e-09,-1.6543612251060553e-24,1.9713330117804037e-15
normal,150.0,60.0,-4.4953557856791966e-09,6.6029025606753655e-15,-1.5019945157419376e-15
normal,150.0,75.0,-4.4953557696233645e-09,-6.6926459214670016e-15,-1.4859386836262935e-15
normal,150.0,90.0,-4.495352281417987e-09,-1.3323963080440965e-14,2.0022666938916196e-15
normal,200.0,0.0,-2.4014693890693266e-09,1.0366292080612757e-14,1.5565489002458799e-15
normal,200.0,15.0,-2.401472102958247e-09,5.2028797275626374e-15,-1.1573400202057105e-15
normal,200.0,30.0,-2.401472113290782e-09,-5.1456716335027005e-15,-1.1676725549215145e-15
normal,200.0,45.0,-2.4014694086908804e-09,-1.6543612251060553e-24,1.5369273464539677e-15
normal,200.0,60.0,-2.4014721132907814e-09,5.145671630193978e-15,-1.1676725545079242e-15
normal,200.0,75.0,-2.401472102958246e-09,-5.202879725908276e-15,-1.1573400189649395e-15
normal,200.0,90.0,-2.4014693890693275e-09,-1.0366292072713765e-14,1.5565488994186993e-15
spm,20.0,0.0,-2.1720312475178887e-07,-2.1005197410808567e-13,-3.130556348946559e-14
spm,20.0,15.0,-2.1720306976031065e-07,-1.0463154798391348e-13,2.3685914738034018e-14
spm,20.0,30.0,-2.1720306996683845e-07,1.0581650186673868e-13,2.3479386929669738e-14
spm,20.0,45.0,-2.1720312516570148e-07,-1.0587911840678754e-22,-3.1719476091778535e-14
spm,20.0,60.0,-2.172030699668384e-07,-1.0581650176085956e-13,2.3479386982609298e-14
spm,20.0,75.0,-2.1720306976031072e-07,1.0463154846036951e-13,2.368591465862468e-14
spm,20.0,90.0,-2.1720312475178908e-07,2.1005197461362126e-13,-3.130556370122383e-14
spm,30.0,0.0,-1.2092350720321786e-07,-8.387573181793912e-14,-1.2497313786230573e-14
spm,30.0,15.0,-1.2092348524460262e-07,-4.17694348194968e-14,9.461301454911526e-15
spm,30.0,30.0,-1.2092348533279293e-07,4.227568933906285e-14,9.373111137300487e-15
spm,30.0,45.0,-1.209235073801018e-07,-3.970466940254533e-22,-1.2674197717841998e-14
spm,30.0,60.0,-1.2092348533279272e-07,-4.2275689153774396e-14,9.373111349058724e-15
spm,30.0,75.0,-1.209234852446027e-07,4.1769435243013274e-14,9.461301375502187e-15
spm,30.0,90.0,-1.2092350720321788e-07,8.387573161572492e-14,-1.2497313812700353e-14
spm,50.0,0.0,-4.790874742365364e-08,-1.3918019016543769e-14,-2.0701111609956022e-15
spm,50.0,15.0,-4.790874377992478e-08,-6.9189444912892665e-15,1.5736176969124759e-15
spm,50.0,30.0,-4.7908743800902775e-08,7.039569831267931e-15,1.5526397017464165e-15
spm,50.0,45.0,-4.790874746583492e-08,-1.0587911840678754e-22,-2.112292442239356e-15
spm,50.0,60.0,-4.790874380090272e-08,-7.039569804798151e-15,1.5526397546859757e-15
spm,50.0,75.0,-4.7908743779924787e-08,6.9189446898126135e-15,1.573617690295031e-15
spm,50.0,90.0,-4.79087474236537e-08,1.3918019218757993e-14,-2.0701112205526063e-15
spm,80.0,0.0,-1.784663432174496e-08,2.266178335759797e-15,3.4110965727529395e-16
spm,80.0,15.0,-1.784663491502906e-08,1.1400348256598045e-15,-2.521744436703161e-16
spm,80.0,30.0,-1.78466349186658e-08,-1.1190369516892643e-15,-2.5581118293807487e-16
spm,80.0,45.0,-1.7846634329102684e-08,6.617444900424222e-24,3.337519320487491e-16
spm,80.0,60.0,-1.7846634918665802e-08,1.119036971541599e-15,-2.558111862467973e-16
spm,80.0,75.0,-1.784663491502907e-08,-1.140034852129584e-15,-2.5217445359648343e-16
spm,80.0,90.0,-1.7846634321744952e-08,-2.266178398951741e-15,3.4110966389273886e-16
