n,energy_contribution_J_m2
0,-6.883644065972584e-07
1,-1.3376489445668952e-06
2,-1.2555086696186581e-06
3,-1.1598042824028438e-06
4,-1.0619371305384656e-06
5,-9.665971807396865e-07
6,-8.760416195959132e-07
7,-7.914277557863366e-07
8,-7.132996332953454e-07
