Q_nm_inv,energy_contribution_J_m2
0.0025,-4.88199189937734e-07
0.0075000000000000015,-1.0321687691494803e-06
0.0125,-1.1720238319087648e-06
0.0175,-1.1579597668590834e-06
0.0225,-1.082513619545051e-06
0.027500000000000004,-9.838896893986056e-07
0.0325,-8.794652110716142e-07
0.0375,-7.775356462947389e-07
0.0425,-6.820660998432991e-07
0.0475,-5.948077991330897e-07
