band_index,pocket_index,num_points,gap_min,gap_max,gap_mean,gap_abs_min,gap_abs_max,has_sign_change,positive_fraction,negative_fraction,near_zero_fraction
0,0,134,0.03947597863713352,0.04,0.039741573653617086,0.03947597863713352,0.04,False,1.0,0.0,0.0
0,1,134,0.039475978637133514,0.04,0.039741573653617086,0.039475978637133514,0.04,False,1.0,0.0,0.0
0,2,134,0.039475978637133514,0.04000000000000001,0.039741573653617086,0.039475978637133514,0.04000000000000001,False,1.0,0.0,0.0
0,3,134,0.039475978637133514,0.039999999999999994,0.03974157365361708,0.039475978637133514,0.039999999999999994,False,1.0,0.0,0.0
1,0,238,0.0,0.016123871041861963,0.010698729706700166,0.0,0.016123871041861963,False,0.9915966386554622,0.0,0.008403361344537815
1,1,238,3.617417603067724e-33,0.016123871041861963,0.010698729706700163,3.617417603067724e-33,0.016123871041861963,False,0.9915966386554622,0.0,0.008403361344537815
1,2,238,3.617417603067724e-33,0.016123871041861963,0.010698729706700163,3.617417603067724e-33,0.016123871041861963,False,0.9915966386554622,0.0,0.008403361344537815
1,3,238,0.0,0.016123871041861956,0.010698729706700159,0.0,0.016123871041861956,False,0.9915966386554622,0.0,0.008403361344537815
2,0,493,0.0,0.015998136678217274,0.009064863257236471,0.0,0.015998136678217274,False,0.9837728194726166,0.0,0.016227180527383367
