sampling,nk,eta_eV,matsubara_index,omega_eV,shift_grid,num_shifts,sigma_xx,sigma_yy,sigma_xy,sigma_yx,sigma_xx_std_over_shifts,relative_std_over_shifts,delta,relative_offdiag,relative_eigen_split,sheet_conductivity_xx,reflection_dimensionless_xx,relative_change_vs_largest_nk,relative_change_between_last_two_nk,eta_relative_change,min_abs_band_energy_on_mesh,points_within_eta,points_within_omega,points_within_kBT,fermi_window_weight_sum,estimated_mesh_energy_resolution,num_refined_points,fs_sampling_status,convergence_status,diagnosis,notes
multishift_average,64,0.0001,2,0.03248658104386831,1,1,(5.970741364628451+0j),(5.970741364628452+0j),(-1.466035488054095e-17+0j),(1.3200252833522679e-17+0j),0.0,0.0,(-7.437756598885898e-17+0j),3.304021870481831e-18,1.4875513197771796e-16,(0.0014533589380904947+0j),(0.547524368617369+0j),0.0,1.2624594694861602,0.011748405874967787,0.0004953915282692246,0,528,28,1.8142066107299586,0.0010472986220496638,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;shift_average_stable;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,64,0.0005,1,0.016243290521934156,1,1,(11.444292345579354+0j),(11.444292345579322+0j),(-4.743673290093206e-18+0j),(5.294260561084866e-17+0j),0.0,0.0,(1.3969593813092111e-15+0j),4.644646995053452e-18,2.7939187626184223e-15,(0.0027856950343055783+0j),(1.0494557640541593+0j),0.0,1.2819915371046142,0.023510059011256152,0.0004953915282692246,8,248,28,1.8142066107299586,0.0010472986220496638,0,ok,warning_high_nk_not_converged;warning_eta_sensitive;shift_average_stable;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,64,0.0005,2,0.03248658104386831,1,1,(5.900594671702337+0j),(5.900594671702348+0j),(-3.386201829446818e-17+0j),(-3.397041204193792e-17+0j),0.0,0.0,(-9.03141261974413e-16+0j),8.12881334553317e-18,1.806282523948826e-15,(0.0014362842874037956+0j),(0.5410918301084167+0j),0.0,1.2619746960084808,0.011748405874967787,0.0004953915282692246,8,528,28,1.8142066107299586,0.0010472986220496638,0,ok,warning_high_nk_not_converged;shift_average_stable;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,32,0.0001,1,0.016243290521934156,2,4,(43.02668303795717+0j),(43.02668303795683+0j),(-1.2883820072129904e-15+0j),(-1.2950769548388185e-15+0j),39.445310955216414,0.916763928105233,(3.9633605135675174e-15+0j),4.245708374543184e-17,7.926721027135035e-15,(0.010473274682446921+0j),(3.945600056237429+0j),0.5124749068575205,0.5054913095898398,0.023787442631360137,0.00021431250023970212,0,388,72,2.949354305191927,0.0029289208842383785,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;warning_eta_sensitive;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,32,0.0001,2,0.03248658104386831,2,4,(21.671479824642276+0j),(21.671479824642173+0j),(-6.543849254444709e-16+0j),(-6.300818563285681e-16+0j),19.78293335725846,0.9128556756315099,(2.3770572549471807e-15+0j),4.1917660428916895e-17,4.7541145098943615e-15,(0.005275130336641478+0j),(1.9873015063565211+0j),0.5091212717799242,0.5022326733187366,0.012022884218765073,0.00021431250023970212,0,644,72,2.949354305191927,0.0029289208842383785,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,32,0.0005,1,0.016243290521934156,2,4,(42.00318828357405+0j),(42.00318828357392+0j),(-1.2433572758623197e-15+0j),(-1.2606131088205875e-15+0j),38.50294413653532,0.9166671795624727,(1.5224760031708648e-15+0j),4.2154335281205747e-17,3.0449520063417297e-15,(0.010224142261775739+0j),(3.8517443212533897+0j),0.5123917036391328,0.5054104672172969,0.023787442631360137,0.00021431250023970212,16,388,72,2.949354305191927,0.0029289208842383785,0,ok,warning_high_nk_not_converged;warning_eta_sensitive;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,32,0.0005,2,0.03248658104386831,2,4,(21.4109261318613+0j),(21.410926131861192+0j),(-6.49455775635085e-16+0j),(-6.493473625587277e-16+0j),19.543036680176286,0.9127599880462232,(2.4889490932718922e-15+0j),4.289363776170413e-17,4.977898186543785e-15,(0.005211708055365142+0j),(1.9634084104378193+0j),0.5090393551973439,0.5021530720974282,0.012022884218765073,0.00021431250023970212,16,644,72,2.949354305191927,0.0029289208842383785,0,ok,warning_high_nk_not_converged;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0001,1,0.016243290521934156,2,4,(14.0677168165393+0j),(14.067716816539301+0j),(5.779312599667058e-14+0j),(5.785435302545927e-14+0j),9.036567736198654,0.642362072967977,(-6.313593252430993e-17+0j),5.812963764530514e-15,8.081399363111669e-15,(0.00342427191620879+0j),(1.2900270330739627+0j),0.5054913095898398,0.5054913095898398,0.023574136760229264,0.0002500000000000835,0,588,108,1.9630808878941477,0.001400714498254567,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;warning_eta_sensitive;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0001,2,0.03248658104386831,2,4,(7.1481031904189125+0j),(7.14810319041892+0j),(2.9013376939821334e-14+0j),(2.900086803994527e-14+0j),4.531932579277629,0.6340049183050527,(-4.970148841111363e-16+0j),5.738902460051037e-15,7.827984424750396e-15,(0.001739944678182352+0j),(0.6554899043746241+0j),0.5022326733187366,0.5022326733187366,0.011811250496889665,0.0002500000000000835,0,1332,108,1.9630808878941477,0.001400714498254567,0,warning_fs_underresolved_eta;warning_few_fs_points_within_eta,warning_high_nk_not_converged;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0005,1,0.016243290521934156,2,4,(13.736082536402025+0j),(13.736082536402032+0j),(5.6292062299489314e-14+0j),(5.6319868750021476e-14+0j),8.820672226800214,0.6421534089813838,(-2.5864096764018746e-16+0j),5.7970431019259434e-15,8.147190480665904e-15,(0.0033435476617518717+0j),(1.2596157593718844+0j),0.5054104672172969,0.5054104672172969,0.023574136760229264,0.0002500000000000835,20,588,108,1.9630808878941477,0.001400714498254567,0,ok,warning_high_nk_not_converged;warning_eta_sensitive;multishift_improves_convergence;requires_contour_or_tetrahedron_integration,ok,normal-state FS-sensitive sampling benchmark only | multi-shift average diagnostic | sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
