sampling,nk,eta_eV,matsubara_index,omega_eV,refine_factor,shift_grid,num_kpoints_total,num_fs_cells,num_refined_points,refined_area_fraction,sigma_xx,sigma_yy,sigma_xy,sigma_yx,sigma_xx_std_over_shifts,relative_std_over_shifts,delta,relative_offdiag,relative_eigen_split,sheet_conductivity_xx,reflection_dimensionless_xx,relative_change_vs_largest_nk,relative_change_between_last_two_nk,eta_relative_change,min_abs_band_energy_on_mesh,points_within_eta,points_within_omega,points_within_kBT,fermi_window_weight_sum,estimated_mesh_energy_resolution,fs_sampling_status,convergence_status,diagnosis,notes
uniform,80,0.0002,2,0.03248658104386831,1,4,6400,0,0,0.0,(12.161661799893443+0j),(12.161661799893395+0j),(-2.8153426302056745e-17+0j),(1.1200323543418635e-18+0j),0.0,0.0,(1.9718372148873225e-15+0j),2.316763709786555e-18,3.943674429774645e-15,(0.0029603124301480726+0j),(1.1152394303615927+0j),0.3322528530519029,0.3322528530519029,0.0030127432877704538,0.00044702772014132295,0,968,84,2.3250503321416405,0.0006766629009145042,warning_fs_underresolved_eta,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,96,0.0001,1,0.016243290521934156,1,4,9216,0,0,0.0,(36.24021601968676+0j),(36.24021601968615+0j),(-3.089769405135617e-14+0j),(-3.0975763384009635e-14+0j),0.0,0.0,(8.430782427203824e-15+0j),1.2072548389574238e-15,1.7449758977235822e-14,(0.008821357123684365+0j),(3.323272636173015+0j),0.0,0.33396660509763537,0.006050304588614755,1.306450173448188e-05,16,740,144,2.652094196911352,0.0004730798488900845,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,96,0.0001,2,0.03248658104386831,1,4,9216,0,0,0.0,(18.268296418726095+0j),(18.268296418725733+0j),(-1.5655884024516168e-14+0j),(-1.5633468144393083e-14+0j),0.0,0.0,(9.918187961582362e-15+0j),1.211110125876778e-15,1.9447427375651696e-14,(0.004446749618251858+0j),(1.6752253784820197+0j),0.0,0.33226327153714935,0.0030282987222974705,1.306450173448188e-05,16,1384,144,2.652094196911352,0.0004730798488900845,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,96,0.0002,1,0.016243290521934156,1,4,9216,0,0,0.0,(36.02095167441046+0j),(36.020951674409325+0j),(-3.085208166967454e-14+0j),(-3.083516800990455e-14+0j),0.0,0.0,(1.578065437432373e-14+0j),1.2109473007553678e-15,3.235034146736363e-14,(0.008767985226201128+0j),(3.3031658244931594+0j),0.0,0.33395605407985907,0.006050304588614755,1.306450173448188e-05,16,740,144,2.652094196911352,0.0004730798488900845,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
uniform,96,0.0002,2,0.03248658104386831,1,4,9216,0,0,0.0,(18.212974560022715+0j),(18.212974560022182+0j),(-1.5464832904955746e-14+0j),(-1.5470474144369926e-14+0j),0.0,0.0,(1.462987416096787e-14+0j),1.2010430083390251e-15,2.8869618344309935e-14,(0.004433283532064529+0j),(1.6701522956088022+0j),0.0,0.3322528530519029,0.0030282987222974705,1.306450173448188e-05,16,1384,144,2.652094196911352,0.0004730798488900845,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | uniform midpoint mesh baseline | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0001,1,0.016243290521934156,1,4,36864,0,0,0.0,(25.280788851757507+0j),(25.280788851757446+0j),(9.256484467812243e-15+0j),(9.256484467812243e-15+0j),12.743480197598588,0.5040776327164597,(1.1945064866005927e-15+0j),5.178100236918016e-16,2.3890129732011853e-15,(0.006153684809954367+0j),(2.3182796086611104+0j),0.03145440217934254,0.05217163654518744,0.006036683356964177,1.306450173448188e-05,24,2664,496,2.3111243708777165,0.0007028688739278838,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0001,2,0.03248658104386831,1,4,36864,0,0,0.0,(12.771961835061994+0j),(12.77196183506202+0j),(4.649058915617843e-15+0j),(4.628242233906121e-15+0j),6.391173928566498,0.5004065946252082,(-1.0431190186403494e-15+0j),5.136297111430013e-16,2.0862380372806988e-15,(0.003108867685996833+0j),(1.1712046984943572+0j),0.031219784782297498,0.05178016773679967,0.003014838720055029,1.306450173448188e-05,24,5396,496,2.3111243708777165,0.0007028688739278838,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0002,1,0.016243290521934156,1,4,36864,0,0,0.0,(25.128176734445177+0j),(25.12817673444507+0j),(9.145462165349727e-15+0j),(9.145462165349727e-15+0j),12.66597916669504,0.504054842519982,(2.1207549495207843e-15+0j),5.147065290526418e-16,4.2415098990415685e-15,(0.006116536963278112+0j),(2.3042848887307166+0j),0.03145294536314533,0.05216920568595838,0.006036683356964177,1.306450173448188e-05,32,2664,496,2.3111243708777165,0.0007028688739278838,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,48,0.0002,2,0.03248658104386831,1,4,36864,0,0,0.0,(12.733456429990584+0j),(12.733456429990571+0j),(4.586608870482678e-15+0j),(4.579669976578771e-15+0j),6.371620296784887,0.5003841911908595,(4.882609032420805e-16+0j),5.090165285262649e-16,9.765218064841607e-16,(0.003099494951321562+0j),(1.167673705220226+0j),0.031218353244629574,0.05177777928350427,0.003014838720055029,1.306450173448188e-05,32,5396,496,2.3111243708777165,0.0007028688739278838,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
multishift_average,64,0.0001,1,0.016243290521934156,1,4,65536,0,0,0.0,(22.668170804350005+0j),(22.668170804349934+0j),(-2.761679773755077e-15+0j),(-2.706168622523819e-15+0j),15.5912959314811,0.6878056489890725,(1.5672696793509e-15+0j),1.7057185416764938e-16,3.1345393587018e-15,(0.0055177383572222755+0j),(2.0786993020480216+0j),0.07514022989537314,0.05217163654518744,0.006031534363551698,4.732111210301998e-05,40,4788,764,2.2345249790455837,0.00038819925279219515,ok,warning_high_nk_not_converged;requires_triangle_or_contour_integration,ok,normal-state FS-adaptive BZ integration prototype only | multi-shift average control | adaptive sampling changes quadrature only and does not alter the Kubo formula | not a Casimir calculation
