pairing,distance_nm,theta_deg,energy_per_area_J_m2
normal,150.0,75.0,-3.5222812459450787e-09
normal,150.0,90.0,-3.522282761901731e-09
normal,200.0,0.0,-1.92092820708875e-09
normal,200.0,15.0,-1.9209278794571126e-09
normal,200.0,30.0,-1.920926746753617e-09
normal,200.0,45.0,-1.920925464657974e-09
normal,200.0,60.0,-1.9209267467536165e-09
normal,200.0,75.0,-1.9209278794571126e-09
normal,200.0,90.0,-1.92092820708875e-09
spm,20.0,0.0,-1.3367468770164357e-07
spm,20.0,15.0,-1.3367396444722417e-07
spm,20.0,30.0,-1.336724792453985e-07
spm,20.0,45.0,-1.3367171923321201e-07
spm,20.0,60.0,-1.3367247924539852e-07
spm,20.0,75.0,-1.3367396444722417e-07
spm,20.0,90.0,-1.3367468770164357e-07
spm,30.0,0.0,-7.560887820044985e-08
spm,30.0,15.0,-7.56085375096811e-08
spm,30.0,30.0,-7.560783828376874e-08
spm,30.0,45.0,-7.560748118549378e-08
spm,30.0,60.0,-7.560783828376876e-08
spm,30.0,75.0,-7.56085375096811e-08
spm,30.0,90.0,-7.560887820044985e-08
spm,50.0,0.0,-3.1290419940935644e-08
spm,50.0,15.0,-3.129031685024854e-08
spm,50.0,30.0,-3.129010447406928e-08
spm,50.0,45.0,-3.128999606629331e-08
spm,50.0,60.0,-3.129010447406928e-08
spm,50.0,75.0,-3.1290316850248535e-08
spm,50.0,90.0,-3.129041994093565e-08
spm,80.0,0.0,-1.250413010386142e-08
spm,80.0,15.0,-1.2504103503894938e-08
spm,80.0,30.0,-1.2504047502183156e-08
spm,80.0,45.0,-1.2504018603929899e-08
spm,80.0,60.0,-1.250404750218316e-08
spm,80.0,75.0,-1.2504103503894938e-08
spm,80.0,90.0,-1.2504130103861419e-08
spm,100.0,0.0,-8.000048554621544e-09
spm,100.0,15.0,-8.00003542918199e-09
spm,100.0,30.0,-8.000007101708218e-09
spm,100.0,45.0,-7.999992281450999e-09
spm,100.0,60.0,-8.00000710170822e-09
spm,100.0,75.0,-8.00003542918199e-09
spm,100.0,90.0,-8.000048554621544e-09
spm,150.0,0.0,-3.5256598110614106e-09
spm,150.0,15.0,-3.5256563765290906e-09
spm,150.0,30.0,-3.5256483020830505e-09
spm,150.0,45.0,-3.5256438879905798e-09
spm,150.0,60.0,-3.5256483020830513e-09
spm,150.0,75.0,-3.5256563765290898e-09
spm,150.0,90.0,-3.5256598110614106e-09
spm,200.0,0.0,-1.9228742930557027e-09
spm,200.0,15.0,-1.9228729884385683e-09
spm,200.0,30.0,-1.92286961658945e-09
spm,200.0,45.0,-1.9228676947147023e-09
spm,200.0,60.0,-1.92286961658945e-09
spm,200.0,75.0,-1.9228729884385683e-09
spm,200.0,90.0,-1.9228742930557023e-09
